home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Polokwane City,Siwelele FC,1,1,FINISHED,26/04/2025,1557302,Matchday 27,2024-2025
Cape Town City,Royal AM,,,UPCOMING,26/04/2025,1557316,Matchday 27,2024-2025
TS Galaxy,Sekhukhune United,1,1,FINISHED,27/04/2025,1557312,Matchday 27,2024-2025
Mamelodi Sundowns,Richards Bay,3,0,FINISHED,30/04/2025,1557315,Matchday 27,2024-2025
Stellenbosch,Chippa United FC,1,0,FINISHED,30/04/2025,1557154,Matchday 27,2024-2025
Orlando Pirates,Magesi,1,1,FINISHED,28/05/2025,1557259,Matchday 27,2024-2025
Royal AM,Marumo Gallants,,,UPCOMING,02/05/2025,1557311,Matchday 28,2024-2025
AmaZulu FC,Polokwane City,1,1,FINISHED,02/05/2025,1557310,Matchday 28,2024-2025
Golden Arrows,Stellenbosch,0,3,FINISHED,03/05/2025,1557305,Matchday 28,2024-2025
Kaizer Chiefs,Orlando Pirates,1,2,FINISHED,03/05/2025,1557309,Matchday 28,2024-2025
Magesi,Sekhukhune United,1,1,FINISHED,03/05/2025,1557307,Matchday 28,2024-2025
Siwelele FC,Chippa United FC,2,0,FINISHED,03/05/2025,1557308,Matchday 28,2024-2025
Cape Town City,Mamelodi Sundowns,0,2,FINISHED,03/05/2025,1557286,Matchday 28,2024-2025
TS Galaxy,Richards Bay,0,1,FINISHED,04/05/2025,1557306,Matchday 28,2024-2025
Polokwane City,Cape Town City,0,2,FINISHED,17/05/2025,1557299,Matchday 29,2024-2025
Richards Bay,Golden Arrows,0,0,FINISHED,17/05/2025,1557298,Matchday 29,2024-2025
Marumo Gallants,Chippa United FC,1,1,FINISHED,17/05/2025,1557301,Matchday 29,2024-2025
Sekhukhune United,Kaizer Chiefs,1,1,FINISHED,17/05/2025,1557377,Matchday 29,2024-2025
Orlando Pirates,TS Galaxy,1,1,FINISHED,17/05/2025,1557300,Matchday 29,2024-2025
Stellenbosch,Siwelele FC,2,1,FINISHED,17/05/2025,1557297,Matchday 29,2024-2025
Royal AM,AmaZulu FC,,,UPCOMING,17/05/2025,1557303,Matchday 29,2024-2025
Mamelodi Sundowns,Magesi,2,0,FINISHED,18/05/2025,1557296,Matchday 29,2024-2025
Chippa United FC,Mamelodi Sundowns,0,3,FINISHED,14/05/2025,1557292,Matchday 30,2024-2025
AmaZulu FC,Orlando Pirates,1,1,FINISHED,24/05/2025,1557304,Matchday 30,2024-2025
Siwelele FC,Richards Bay,0,2,FINISHED,24/05/2025,1557289,Matchday 30,2024-2025
Cape Town City,Stellenbosch,0,0,FINISHED,24/05/2025,1557294,Matchday 30,2024-2025
Golden Arrows,Sekhukhune United,3,2,FINISHED,24/05/2025,1557295,Matchday 30,2024-2025
Kaizer Chiefs,Polokwane City,0,0,FINISHED,24/05/2025,1557291,Matchday 30,2024-2025
Magesi,Marumo Gallants,1,1,FINISHED,24/05/2025,1557290,Matchday 30,2024-2025
TS Galaxy,Royal AM,,,UPCOMING,24/05/2025,1557293,Matchday 30,2024-2025
